DEPTH,LCAL,GR,RHOM,APLU,Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
4242.9684,8.5405,143.095,2.7511,0.1276,0.77864,0.77152,0.76816,0.79412,0.79461,0.78922,65.8937,104.4344
4242.816,8.5412,102.6287,2.6434,0.1081,0.78184,0.77585,0.77438,0.79697,0.79834,0.79411,66.0644,105.6775
4242.6636,8.5606,62.5591,2.5636,0.0871,0.78522,0.7804,0.78152,0.80007,0.80234,0.79987,65.4293,104.6524
4242.5112,8.5651,32.6639,2.5171,0.0773,0.78873,0.785,0.78915,0.80336,0.80645,0.8062,65.8046,105.088
4242.3588,8.586,23.8036,2.5064,0.0771,0.79231,0.78947,0.79661,0.8068,0.8105,0.81258,65.6507,107.0676
4242.2064,8.5773,21.82,2.5153,0.0748,0.79594,0.79367,0.80309,0.81037,0.81437,0.81829,66.6058,110.7872
4242.054,8.5858,21.4232,2.5258,0.069,0.79957,0.79748,0.80785,0.81405,0.81796,0.82265,67.0269,110.5268
4241.9016,8.6053,22.2167,2.5215,0.0699,0.80319,0.80088,0.81047,0.81785,0.82126,0.82521,67.701,111.8093
4241.7492,8.6035,23.4069,2.5074,0.0723,0.80678,0.80389,0.81102,0.82181,0.82435,0.826,68.5382,111.3163
4241.5968,8.6055,21.5555,2.4931,0.0795,0.81035,0.80662,0.81002,0.82599,0.82736,0.82549,69.5091,110.9834
4241.4444,8.6086,20.9439,2.5049,0.0804,0.81388,0.80922,0.80832,0.83042,0.83049,0.82453,69.9086,109.6571
4241.292,8.6317,19.2247,2.5137,0.0854,0.81738,0.81192,0.80672,0.83514,0.83399,0.8241,70.2874,106.9228
4241.1396,8.6089,22.0018,2.5227,0.083,0.82086,0.81491,0.80598,0.8402,0.83809,0.8251,69.9583,103.8485
4240.9872,8.5943,24.2003,2.5245,0.0798,0.82429,0.81838,0.8066,0.84557,0.84298,0.82814,70.3226,147.2091
4240.8348,8.5608,22.8307,2.526,0.0732,0.82767,0.82243,0.809,0.85122,0.84879,0.83365,71.6403,97.2404
4240.6824,8.5207,23.6241,2.5275,0.0739,0.83095,0.82708,0.81353,0.85706,0.85549,0.84189,69.4034,107.3668
4240.53,8.5174,21.5083,2.5215,0.0731,0.83408,0.83224,0.82052,0.86293,0.86294,0.85303,69.5399,109.4762
4240.3776,8.5351,24.4648,2.5022,0.0773,0.83699,0.83771,0.83009,0.86866,0.87084,0.867,68.2876,108.666
4240.2252,8.5327,22.3489,2.4999,0.0821,0.83958,0.84319,0.84183,0.87404,0.87877,0.88319,67.4447,117.5311
