DEPTH,LCAL,GR,RHOM,APLC,APLU
4242.9684,8.5405,143.095,2.7511,0.1141,0.1276
4242.816,8.5412,102.6287,2.6434,0.0932,0.1081
4242.6636,8.5606,62.5591,2.5636,0.0714,0.0871
4242.5112,8.5651,32.6639,2.5171,0.0631,0.0773
4242.3588,8.586,23.8036,2.5064,0.0647,0.0771
4242.2064,8.5773,21.82,2.5153,0.0631,0.0748
4242.054,8.5858,21.4232,2.5258,0.0596,0.069
4241.9016,8.6053,22.2167,2.5215,0.0613,0.0699
4241.7492,8.6035,23.4069,2.5074,0.0628,0.0723
4241.5968,8.6055,21.5555,2.4931,0.0693,0.0795
4241.4444,8.6086,20.9439,2.5049,0.0696,0.0804
4241.292,8.6317,19.2247,2.5137,0.0734,0.0854
4241.1396,8.6089,22.0018,2.5227,0.0721,0.083
4240.9872,8.5943,24.2003,2.5245,0.0713,0.0798
4240.8348,8.5608,22.8307,2.526,0.0656,0.0732
4240.6824,8.5207,23.6241,2.5275,0.0672,0.0739
4240.53,8.5174,21.5083,2.5215,0.0664,0.0731
4240.3776,8.5351,24.4648,2.5022,0.0705,0.0773
4240.2252,8.5327,22.3489,2.4999,0.0755,0.0821
4240.0728,8.5313,22.4812,2.4956,0.0746,0.0813
4239.9204,8.5299,21.8448,2.5049,0.0683,0.0755
4239.768,8.5346,22.6193,2.5086,0.0655,0.0721
4239.6156,8.533,22.0904,2.5128,0.0659,0.072
4239.4632,8.5361,23.917,2.5231,0.0618,0.0688
4239.3108,8.5365,23.4069,2.5207,0.0585,0.0656
4239.1584,8.5363,24.8616,2.5103,0.0607,0.0681
4239.006,8.5313,23.2746,2.496,0.063,0.0709
4238.8536,8.5441,23.6714,2.4929,0.0614,0.0699
4238.7012,8.5695,22.7457,2.4929,0.0639,0.0725
4238.5488,8.5707,21.0265,2.4883,0.0639,0.0732
4238.3964,8.5739,20.762,2.4873,0.0674,0.076
4238.244,8.5676,20.2331,2.5042,0.0659,0.0739
4238.0916,8.5511,21.9522,2.5118,0.0589,0.0676
4237.9392,8.5358,23.4069,2.5319,0.0556,0.0633
4237.7868,8.5247,23.4069,2.5476,0.0599,0.0668
4237.6344,8.5231,22.0845,2.5451,0.0668,0.0733
4237.482,8.525,21.6629,2.5259,0.0675,0.074
4237.3296,8.4934,21.2662,2.518,0.0712,0.0772
4237.1772,8.4707,22.4564,2.5199,0.066,0.0717
4237.0248,8.4764,21.5177,2.5163,0.0653,0.071
4236.8724,8.4775,23.7658,2.5145,0.0609,0.0668
4236.72,8.4775,24.0303,2.5159,0.0599,0.0661
4236.5676,8.4775,23.8036,2.5067,0.0579,0.0641
4236.4152,8.4749,24.8616,2.5127,0.0567,0.0637
4236.2628,8.4304,25.655,2.5461,0.0602,0.0673
4236.1104,8.3548,26.0517,2.5657,0.0753,0.0828
4235.958,8.3409,24.4483,2.5544,0.0899,0.0969
4235.8056,8.3432,23.9382,2.5149,0.0874,0.0945
4235.6532,8.3676,26.0541,2.5105,0.0716,0.0789
4235.5008,8.3892,27.3931,2.5106,0.0635,0.071
4235.3484,8.4231,24.9938,2.5148,0.0627,0.0704
4235.196,8.4441,22.4812,2.5102,0.0639,0.0716
4235.0436,8.4332,20.3983,2.5162,0.0607,0.0686
4234.8912,8.44,22.911,2.5106,0.0589,0.0674
4234.7388,8.4398,23.0432,2.4986,0.0605,0.0696
4234.5864,8.4203,22.7457,2.504,0.0582,0.0671
4234.434,8.3703,24.7293,2.5044,0.0614,0.0703
4234.2816,8.3576,27.5064,2.5178,0.0622,0.0702
4234.1292,8.3447,28.4416,2.522,0.0618,0.0686
4233.9768,8.3772,27.4249,2.5336,0.0581,0.0638
4233.8244,8.4121,25.9703,2.5456,0.0574,0.0623
4233.672,8.4227,25.2996,2.545,0.058,0.0626
4233.5196,8.421,24.7293,2.5471,0.0562,0.0613
4233.3672,8.4207,24.9938,2.5428,0.0542,0.0594
4233.2148,8.4226,25.7873,2.5385,0.0591,0.0645
4233.0624,8.4271,24.9938,2.5277,0.0581,0.064
4232.91,8.4698,23.4069,2.5184,0.0604,0.0668
4232.7576,8.4857,24.2003,2.52,0.0606,0.0667
4232.6052,8.4747,24.9938,2.5235,0.0585,0.065
4232.4528,8.4736,26.5807,2.5253,0.0565,0.0628
4232.3004,8.4726,27.7544,2.5229,0.0565,0.0626
4232.148,8.4721,29.209,2.5249,0.0551,0.0606
4231.9956,8.4726,29.8702,2.5185,0.0547,0.0601
4231.8432,8.4785,28.1676,2.5077,0.0572,0.0632
4231.6908,8.4746,25.0694,2.5128,0.0622,0.0682
4231.5384,8.4719,22.0278,2.5118,0.0612,0.0668
4231.386,8.4732,20.383,2.5094,0.0653,0.0712
4231.2336,8.4737,22.82,2.4957,0.066,0.072
4231.0812,8.475,23.349,2.4928,0.0723,0.0779
4230.9288,8.4743,23.6714,2.4832,0.0734,0.0793
4230.7764,8.4744,20.233,2.4806,0.0788,0.0857
4230.624,8.4702,20.762,2.4823,0.0767,0.0843
4230.4716,8.4697,34.0241,2.4682,0.0806,0.088
4230.3192,8.4479,55.52,2.4292,0.0854,0.0923
4230.1668,8.4681,69.675,2.4115,0.0992,0.107
4230.0144,8.4864,68.8721,2.4879,0.1022,0.109
4229.862,8.4744,65.3302,2.5759,0.0787,0.0853
4229.7096,8.4826,84.5937,2.6482,0.0588,0.0658
4229.5572,8.5034,123.5451,2.657,0.0606,0.0686
4229.4048,8.5043,144.4045,2.6103,0.0893,0.0967
4229.2524,8.5029,128.7235,2.5589,0.1054,0.1136
4229.1,8.4994,79.9041,2.5173,0.0958,0.1066
4228.9476,8.4911,40.9585,2.4941,0.0783,0.0924
4228.7952,8.4737,22.716,2.5023,0.0693,0.085
4228.6428,8.4742,19.2847,2.5047,0.0705,0.0842
4228.4904,8.4721,19.6348,2.5096,0.0706,0.0834
4228.338,8.4748,19.8947,2.5084,0.0642,0.0765
4228.1856,8.4724,20.3614,2.517,0.0605,0.0704
4228.0332,8.4731,20.8865,2.5105,0.0593,0.0683
4227.8808,8.4718,20.7468,2.5134,0.0581,0.0664
4227.7284,8.4751,19.868,2.5099,0.059,0.0662
4227.576,8.4454,20.6666,2.5218,0.0595,0.0662
4227.4236,8.449,23.9126,2.5368,0.0577,0.0645
4227.2712,8.4501,30.6839,2.5487,0.0587,0.0656
4227.1188,8.4356,34.6005,2.5387,0.071,0.0787
4226.9664,8.4052,36.8034,2.5127,0.0744,0.0822
4226.814,8.3668,35.4031,2.5224,0.0732,0.0795
4226.6616,8.3177,35.0837,2.5667,0.0583,0.064
4226.5092,8.3951,46.0375,2.6207,0.055,0.0601
4226.3568,8.4461,74.8222,2.6755,0.0618,0.0667
4226.2044,8.4478,94.6174,2.708,0.0749,0.0802
4226.052,8.447,102.9239,2.6601,0.0892,0.0951
4225.8996,8.6497,95.6393,2.5856,0.082,0.0885
4225.7472,8.6171,95.4928,2.573,0.0709,0.0779
4225.5948,8.851,78.6829,2.5549,0.071,0.0788
4225.4424,8.8204,53.1359,2.5325,0.0795,0.0877
4225.29,8.7563,30.6084,2.5361,0.0836,0.0936
4225.1376,8.8625,23.7912,2.5518,0.0708,0.0833
4224.9852,8.7889,23.2108,2.5578,0.0588,0.0721
4224.8328,8.8807,22.5619,2.5708,0.0539,0.0659
4224.6804,8.8253,22.2614,2.5614,0.0547,0.0655
4224.528,8.728,23.1097,2.5468,0.0562,0.0654
4224.3756,8.6087,24.167,2.5359,0.0597,0.0675
4224.2232,8.5551,22.9201,2.5339,0.0589,0.0659
4224.0708,8.5145,23.6652,2.53,0.0551,0.0608
4223.9184,8.5004,24.9488,2.5363,0.0519,0.0571
4223.766,8.5086,27.9933,2.5251,0.0518,0.0569
4223.6136,8.5207,28.9639,2.5228,0.0524,0.0576
4223.4612,8.4912,26.4552,2.5259,0.0534,0.0585
4223.3088,8.4508,26.2911,2.5192,0.0537,0.0591
4223.1564,8.4477,25.0288,2.5081,0.0535,0.0589
4223.004,8.4525,25.7772,2.5103,0.0524,0.0578
4222.8516,8.434,25.0505,2.5136,0.0552,0.0611
4222.6992,8.4224,25.4588,2.5192,0.0567,0.0628
4222.5468,8.411,26.9822,2.5227,0.0556,0.0625
4222.3944,8.4722,27.1912,2.5207,0.0551,0.0632
4222.242,8.5071,27.5642,2.5097,0.0589,0.0677
4222.0896,8.5052,26.1092,2.5117,0.0636,0.0723
4221.9372,8.4831,25.8436,2.5104,0.066,0.0744
