Four_RT,Two_RT,One_RT,Four_RX,Two_RX,One_RX,DTCO,DTSH
0.77864,0.77152,0.76816,0.79412,0.79461,0.78922,65.8937,104.4344
0.78184,0.77585,0.77438,0.79697,0.79834,0.79411,66.0644,105.6775
0.78522,0.7804,0.78152,0.80007,0.80234,0.79987,65.4293,104.6524
0.78873,0.785,0.78915,0.80336,0.80645,0.8062,65.8046,105.088
0.79231,0.78947,0.79661,0.8068,0.8105,0.81258,65.6507,107.0676
0.79594,0.79367,0.80309,0.81037,0.81437,0.81829,66.6058,110.7872
0.79957,0.79748,0.80785,0.81405,0.81796,0.82265,67.0269,110.5268
0.80319,0.80088,0.81047,0.81785,0.82126,0.82521,67.701,111.8093
0.80678,0.80389,0.81102,0.82181,0.82435,0.826,68.5382,111.3163
0.81035,0.80662,0.81002,0.82599,0.82736,0.82549,69.5091,110.9834
0.81388,0.80922,0.80832,0.83042,0.83049,0.82453,69.9086,109.6571
0.81738,0.81192,0.80672,0.83514,0.83399,0.8241,70.2874,106.9228
0.82086,0.81491,0.80598,0.8402,0.83809,0.8251,69.9583,103.8485
0.82429,0.81838,0.8066,0.84557,0.84298,0.82814,70.3226,147.2091
0.82767,0.82243,0.809,0.85122,0.84879,0.83365,71.6403,97.2404
0.83095,0.82708,0.81353,0.85706,0.85549,0.84189,69.4034,107.3668
0.83408,0.83224,0.82052,0.86293,0.86294,0.85303,69.5399,109.4762
0.83699,0.83771,0.83009,0.86866,0.87084,0.867,68.2876,108.666
0.83958,0.84319,0.84183,0.87404,0.87877,0.88319,67.4447,117.5311
0.84178,0.8483,0.8546,0.87882,0.8862,0.90018,66.266,114.3384
0.8435,0.85264,0.8666,0.88277,0.89256,0.91563,66.1907,116.7262
0.84467,0.85583,0.8757,0.88569,0.89735,0.92678,64.9165,115.1164
0.84525,0.8576,0.88019,0.88745,0.90019,0.93139,66.9035,113.8588
0.84523,0.8578,0.87943,0.88795,0.90088,0.92873,70.7807,115.0254
0.84461,0.85644,0.87408,0.88721,0.89945,0.91996,68.7306,116.1793
